file,label,total_imports,imp_crypto,imp_random,imp_file_ops,imp_volume_enum,imp_network_spread,imp_file_unlock,imp_process_enum,imp_shadow_service,imp_anti_analysis,indicative_category_count,static_crypto_libs
plasrv.exe,benign,36,0,0,0,0,0,0,0,0,1,0,
PnPUnattend.exe,benign,114,0,0,1,0,1,0,0,0,1,1,
pnputil.exe,benign,160,0,0,3,0,0,0,2,0,2,1,
poqexec.exe,benign,218,0,0,2,0,0,0,1,0,1,1,
powercfg.exe,benign,213,0,0,2,0,0,0,2,1,2,1,
PresentationHost.exe,benign,220,0,0,2,0,0,0,1,0,2,1,
PresentationSettings.exe,benign,189,0,0,2,0,0,0,0,0,2,0,
prevhost.exe,benign,87,0,0,0,0,0,0,0,0,2,0,
print.exe,benign,84,0,0,0,0,0,0,0,0,1,0,
PrintBrmUi.exe,benign,151,0,0,2,0,0,0,0,1,2,0,
printfilterpipelinesvc.exe,benign,336,0,0,6,0,0,0,0,1,2,0,
PrintIsolationHost.exe,benign,110,0,0,0,0,0,0,0,0,2,0,
printui.exe,benign,60,0,0,0,0,0,0,0,0,2,0,
proquota.exe,benign,142,0,0,1,0,0,0,0,0,2,0,
provlaunch.exe,benign,91,0,0,0,0,0,0,0,0,2,0,
provtool.exe,benign,128,0,0,2,0,0,0,0,1,2,0,
ProximityUxHost.exe,benign,267,6,2,2,0,0,0,0,0,2,1,
prproc.exe,benign,40,0,0,0,0,0,0,0,0,2,0,
psr.exe,benign,431,0,0,7,0,0,0,0,1,2,0,
pwlauncher.exe,benign,104,0,0,0,0,0,0,1,0,1,1,
qappsrv.exe,benign,80,0,0,2,0,0,0,0,0,1,0,
qprocess.exe,benign,96,0,0,1,0,0,0,2,0,1,1,
query.exe,benign,65,0,0,0,0,0,0,0,0,1,0,
quser.exe,benign,88,0,0,1,0,0,0,0,0,1,0,
qwinsta.exe,benign,88,0,0,1,0,0,0,0,0,1,0,
rasautou.exe,benign,64,0,0,0,0,0,0,0,0,1,0,
rasdial.exe,benign,69,0,0,2,0,0,0,0,0,1,0,
raserver.exe,benign,206,9,0,0,0,0,0,0,0,2,1,
rasphone.exe,benign,73,0,0,0,0,0,0,1,0,1,1,
rdpclip.exe,benign,336,0,0,6,0,0,0,1,1,2,1,
rdpinit.exe,benign,298,3,1,1,0,0,0,4,0,3,2,
rdpinput.exe,benign,171,0,0,2,0,0,0,1,2,2,1,
RdpSa.exe,benign,123,0,0,0,0,0,0,1,0,1,1,
RdpSaProxy.exe,benign,102,0,0,0,0,0,0,1,0,1,1,
RdpSaUacHelper.exe,benign,106,3,1,0,0,0,0,2,2,1,2,
rdpshell.exe,benign,392,0,0,2,0,0,0,1,0,3,1,
rdpsign.exe,benign,129,1,0,5,0,0,0,0,1,1,1,
rdrleakdiag.exe,benign,133,0,0,3,0,0,0,2,3,3,1,
readCloudDataSettings.exe,benign,119,0,0,0,0,0,0,0,0,2,0,
ReAgentc.exe,benign,151,0,0,2,0,0,0,0,0,2,0,
recdisc.exe,benign,202,0,0,4,2,0,0,1,3,2,2,
recover.exe,benign,62,0,0,0,0,0,0,0,0,1,0,
RecoveryDrive.exe,benign,253,0,0,4,0,0,0,2,1,3,1,
ReFsDedupSvc.exe,benign,559,0,0,7,3,0,0,2,1,2,2,
refsutil.exe,benign,460,0,0,6,0,0,0,2,0,2,1,
reg.exe,benign,123,0,0,5,0,0,0,2,1,2,1,
regedt32.exe,benign,39,0,0,0,0,0,0,0,0,1,0,
regini.exe,benign,100,0,0,3,0,0,0,0,0,1,0,
Register-CimProvider.exe,benign,56,0,0,0,0,0,0,0,0,1,0,
RegistryDefragBootTime.exe,benign,42,0,0,2,0,0,0,0,0,0,0,
regsvr32.exe,benign,115,0,0,2,0,0,0,0,0,2,0,
rekeywiz.exe,benign,142,0,0,4,1,0,0,0,1,1,1,
relog.exe,benign,126,0,0,6,0,0,0,0,1,2,0,
RelPost.exe,benign,186,0,0,5,0,0,0,2,1,3,1,
RemotePosWorker.exe,benign,45,0,0,0,0,0,0,0,0,1,0,
repair-bde.exe,benign,110,0,0,5,0,0,0,0,1,1,0,
replace.exe,benign,103,0,0,1,0,0,0,0,0,1,0,
reset.exe,benign,65,0,0,0,0,0,0,0,0,1,0,
ResetEngine.exe,benign,39,0,0,0,0,0,0,0,0,1,0,
resmon.exe,benign,44,0,0,0,0,0,0,0,0,2,0,
rgnupdt.exe,benign,94,0,0,0,0,0,0,0,0,2,0,
RMActivate.exe,benign,129,9,1,3,1,0,0,1,1,1,3,
RMActivate_isv.exe,benign,129,9,1,3,1,0,0,1,1,1,3,
RMActivate_ssp.exe,benign,88,5,0,0,0,0,0,1,0,1,2,
RMActivate_ssp_isv.exe,benign,88,5,0,0,0,0,0,1,0,1,2,
RmClient.exe,benign,54,0,0,3,0,0,0,1,0,1,1,
rmttpmvscmgrsvr.exe,benign,169,3,0,0,0,0,0,0,0,2,1,
Robocopy.exe,benign,234,0,0,2,0,0,0,2,1,2,1,
ROUTE.EXE,benign,77,0,0,0,0,0,0,0,0,1,0,
RpcPing.exe,benign,105,0,0,1,0,0,0,0,0,1,0,
rrinstaller.exe,benign,113,0,0,0,0,0,0,0,0,2,0,
rstrui.exe,benign,270,0,0,4,4,0,0,2,4,2,2,
runas.exe,benign,89,0,0,0,0,0,0,0,0,1,0,
rundll32.exe,benign,154,0,0,2,0,0,0,1,0,2,1,
runexehelper.exe,benign,120,0,0,1,0,0,0,0,0,2,0,
RunLegacyCPLElevated.exe,benign,83,0,0,0,0,0,0,0,0,2,0,
runonce.exe,benign,201,0,0,2,0,0,0,0,1,3,0,
RuntimeBroker.exe,benign,135,0,0,0,0,0,0,0,0,2,0,
rwinsta.exe,benign,78,0,0,1,0,0,0,0,0,1,0,
sc.exe,benign,80,0,0,1,0,0,0,0,0,2,0,
schtasks.exe,benign,163,0,0,3,0,0,0,0,0,1,0,
ScriptRunner.exe,benign,1,0,0,0,0,0,0,0,0,0,0,
sdbinst.exe,benign,216,0,0,7,0,0,0,0,1,2,0,
sdchange.exe,benign,147,0,0,0,0,0,0,0,2,2,0,
sdclt.exe,benign,379,0,0,4,1,1,0,2,3,2,3,
sdiagnhost.exe,benign,101,0,0,0,0,0,0,1,0,2,1,
SearchFilterHost.exe,benign,266,0,0,1,0,0,0,1,0,2,1,
SearchIndexer.exe,benign,426,0,0,6,4,0,0,1,1,2,2,
SearchProtocolHost.exe,benign,318,0,0,4,0,0,0,2,1,3,1,
SecEdit.exe,benign,81,0,0,2,0,0,0,0,0,1,0,
secinit.exe,benign,33,0,0,0,0,0,0,0,0,1,0,
securekernel.exe,benign,41,7,2,0,0,0,0,0,0,0,1,
SecurityHealthHost.exe,benign,138,0,0,1,0,0,0,0,0,2,0,
SecurityHealthService.exe,benign,142,0,0,3,0,0,0,0,1,2,0,
SecurityHealthSystray.exe,benign,100,0,0,0,0,0,0,0,0,2,0,
SensorDataService.exe,benign,204,0,0,2,0,0,0,1,3,2,1,boost
SensorRuntimeBroker.exe,benign,139,0,0,0,0,0,0,2,0,2,1,
services.exe,benign,480,0,0,6,0,0,0,2,1,3,1,
sessionmsg.exe,benign,208,0,0,0,0,0,0,0,0,1,0,
sethc.exe,benign,269,0,0,1,0,0,0,1,1,2,1,
setspn.exe,benign,71,0,0,1,0,0,0,0,0,1,0,
setupcl.exe,benign,24,0,0,0,0,0,0,0,0,0,0,
setupugc.exe,benign,234,2,2,3,3,1,0,2,1,3,4,
setx.exe,benign,109,0,0,2,0,0,0,0,0,1,0,
sfc.exe,benign,155,0,0,3,0,0,0,0,1,2,0,
ShellAppRuntime.exe,benign,590,0,0,6,0,0,0,1,3,3,1,boost
ShellHost.exe,benign,279,0,0,0,0,0,0,0,0,2,0,
shrpubw.exe,benign,123,0,0,0,1,0,0,0,0,1,1,
shutdown.exe,benign,66,0,0,1,0,0,0,0,0,1,0,
sigverif.exe,benign,163,0,0,3,0,0,0,0,3,1,0,
SIHClient.exe,benign,218,0,0,0,0,0,0,0,0,2,0,
sihost.exe,benign,142,0,0,0,0,0,0,0,0,2,0,
SlideToShutDown.exe,benign,31,0,0,0,0,0,0,0,0,1,0,
slui.exe,benign,195,0,0,0,0,0,0,0,0,2,0,
smartscreen.exe,benign,257,1,0,1,1,0,0,1,0,1,3,
smss.exe,benign,217,0,0,2,0,0,0,0,0,1,0,
SndVol.exe,benign,370,0,0,0,0,0,0,0,0,2,0,
snmptrap.exe,benign,74,0,0,1,0,0,0,0,0,1,0,
sort.exe,benign,79,0,0,3,0,0,0,0,0,1,0,
sort1.exe,benign,69,0,0,0,0,0,0,0,0,1,0,
SpaceAgent.exe,benign,211,2,2,4,4,0,0,2,0,3,3,
spaceman.exe,benign,112,2,2,1,0,0,0,0,0,2,1,
spaceutil.exe,benign,151,2,2,3,0,0,0,0,0,2,1,
SpatialAudioLicenseSrv.exe,benign,134,0,0,0,0,0,0,0,0,2,0,
spoolsv.exe,benign,368,0,0,4,0,0,0,2,1,2,1,
spoolsvworker.exe,benign,367,0,0,4,0,0,0,2,1,2,1,
SppExtComObj.Exe,benign,169,3,1,0,0,0,0,0,0,1,1,
sppsvc.exe,benign,301,11,2,6,0,0,0,1,3,2,2,
srdelayed.exe,benign,40,0,0,2,0,0,0,0,0,0,0,
SrTasks.exe,benign,140,0,0,4,0,0,0,0,1,2,0,
stordiag.exe,benign,178,0,0,6,1,0,0,1,0,2,2,
subst.exe,benign,83,0,0,0,0,0,0,0,0,1,0,
sudo.exe,benign,185,0,0,5,0,0,0,1,0,3,1,
svchost.exe,benign,140,0,0,0,0,0,0,1,0,3,1,
sxstrace.exe,benign,74,0,0,2,0,0,0,0,0,1,0,
SyncAppvPublishingServer.exe,benign,80,0,0,0,0,0,0,0,0,2,0,
SyncHost.exe,benign,112,0,0,0,0,0,0,0,0,2,0,
SysResetErr.exe,benign,100,0,0,0,0,0,0,0,0,1,0,
systeminfo.exe,benign,148,0,0,1,0,0,0,0,0,1,0,
SystemPropertiesAdvanced.exe,benign,25,0,0,0,0,0,0,0,0,1,0,
SystemPropertiesComputerName.exe,benign,25,0,0,0,0,0,0,0,0,1,0,
SystemPropertiesDataExecutionPrevention.exe,benign,25,0,0,0,0,0,0,0,0,1,0,
SystemPropertiesHardware.exe,benign,25,0,0,0,0,0,0,0,0,1,0,
SystemPropertiesPerformance.exe,benign,26,0,0,0,0,0,0,0,0,1,0,
SystemPropertiesProtection.exe,benign,25,0,0,0,0,0,0,0,0,1,0,
SystemPropertiesRemote.exe,benign,25,0,0,0,0,0,0,0,0,1,0,
SystemSettingsAdminFlows.exe,benign,486,0,0,1,0,0,0,2,3,2,1,
SystemSettingsBroker.exe,benign,127,0,0,0,0,0,0,1,0,2,1,
SystemSettingsRemoveDevice.exe,benign,87,0,0,0,0,0,0,0,0,2,0,
SystemUWPLauncher.exe,benign,127,0,0,0,0,0,0,1,0,2,1,
systray.exe,benign,29,0,0,0,0,0,0,0,0,1,0,
tabcal.exe,benign,159,0,0,0,0,0,0,1,0,1,1,
takeown.exe,benign,118,0,0,3,0,0,0,2,0,1,1,
TapiUnattend.exe,benign,54,0,0,0,0,0,0,0,0,2,0,
tar.exe,benign,203,0,0,3,0,0,0,0,0,2,0,
taskhostw.exe,benign,123,0,0,0,0,0,0,0,0,2,0,
taskkill.exe,benign,175,0,0,1,0,1,0,2,1,1,2,
tasklist.exe,benign,183,0,0,1,0,1,0,2,1,2,2,
Taskmgr.exe,benign,1088,0,0,4,4,0,0,2,3,3,2,
tcblaunch.exe,benign,0,0,0,0,0,0,0,0,0,0,0,
tcmsetup.exe,benign,66,0,0,0,0,0,0,0,0,2,0,
TCPSVCS.EXE,benign,45,0,0,0,0,0,0,0,0,1,0,
ThumbnailExtractionHost.exe,benign,110,0,0,0,0,0,0,0,0,2,0,
TieringEngineService.exe,benign,249,0,0,5,2,0,0,2,1,2,2,
timeout.exe,benign,83,0,0,0,0,0,0,0,0,1,0,
TokenBrokerCookies.exe,benign,97,0,0,0,0,0,0,0,0,2,0,
TpmInit.exe,benign,100,0,0,0,0,0,0,0,0,1,0,
TpmTool.exe,benign,300,7,2,2,0,0,0,0,1,2,1,boost
tpmvscmgr.exe,benign,161,3,0,0,0,0,0,0,0,2,1,
tpmvscmgrsvr.exe,benign,170,3,0,0,0,0,0,0,0,2,1,
tracerpt.exe,benign,256,0,0,5,0,0,0,0,1,1,0,
TRACERT.EXE,benign,65,0,0,0,0,0,0,0,0,1,0,
tscon.exe,benign,79,0,0,1,0,0,0,0,0,1,0,
tsdiscon.exe,benign,79,0,0,1,0,0,0,0,0,1,0,
tskill.exe,benign,79,0,0,1,0,0,0,0,0,1,0,
TSTheme.exe,benign,128,0,0,0,0,0,0,1,0,2,1,
TSWbPrxy.exe,benign,145,0,0,0,0,0,0,0,0,2,0,
TsWpfWrp.exe,benign,1,0,0,0,0,0,0,0,0,0,0,
ttdinject.exe,benign,182,0,0,0,0,0,0,3,0,3,1,
tttracer.exe,benign,113,0,0,1,0,0,0,0,0,2,0,
typeperf.exe,benign,141,0,0,4,0,0,0,0,0,2,0,
tzsync.exe,benign,0,0,0,0,0,0,0,0,0,0,0,
tzutil.exe,benign,93,0,0,1,0,0,0,2,0,1,1,
UCConfigTask.exe,benign,80,0,0,0,0,0,0,0,0,2,0,
UCPDMgr.exe,benign,102,0,0,0,0,0,0,0,1,2,0,
ucsvc.exe,benign,95,0,0,1,0,0,0,2,0,2,1,
UevAgentPolicyGenerator.exe,benign,1,0,0,0,0,0,0,0,0,0,0,
UevAppMonitor.exe,benign,1,0,0,0,0,0,0,0,0,0,0,
UevTemplateBaselineGenerator.exe,benign,1,0,0,0,0,0,0,0,0,0,0,
UevTemplateConfigItemGenerator.exe,benign,1,0,0,0,0,0,0,0,0,0,0,
UIEOrchestratorStub.exe,benign,106,0,0,1,0,0,0,0,0,2,0,
UIMgrBroker.exe,benign,127,0,0,0,0,0,0,1,0,2,1,
uniq.exe,benign,48,0,0,0,0,0,0,0,0,1,0,
unlodctr.exe,benign,82,0,0,2,0,0,0,0,0,2,0,
unregmp2.exe,benign,163,0,0,6,0,0,0,0,4,2,0,
updatecli.exe,benign,104,0,0,1,0,0,0,0,0,2,0,
upfc.exe,benign,150,0,0,1,0,0,0,0,2,2,0,
UpgradeResultsUI.exe,benign,115,0,0,0,0,0,0,0,0,2,0,
upnpcont.exe,benign,135,0,0,0,0,0,0,0,0,2,0,
UPPrinterInstaller.exe,benign,120,0,0,0,0,0,0,0,0,2,0,
UserAccountBroker.exe,benign,106,0,0,0,0,0,0,0,0,2,0,
UserAccountControlSettings.exe,benign,98,0,0,0,0,0,0,1,0,2,1,
UserDataSource.exe,benign,100,0,0,0,0,0,0,0,0,2,0,
userinit.exe,benign,147,0,0,0,0,0,0,0,0,3,0,
UsoClient.exe,benign,104,0,0,1,0,0,0,0,0,2,0,
UtcDecoderHost.exe,benign,157,0,0,0,0,0,0,0,0,2,0,
Utilman.exe,benign,238,0,0,1,0,0,0,1,1,2,1,
VaultCmd.exe,benign,82,1,0,1,0,0,0,0,0,2,1,
vds.exe,benign,385,0,0,4,5,0,0,2,3,2,2,
vdsldr.exe,benign,128,0,0,0,0,0,0,0,0,1,0,
verclsid.exe,benign,43,0,0,0,0,0,0,0,0,1,0,
verifier.exe,benign,159,0,0,2,0,0,0,2,3,1,1,
verifiergui.exe,benign,156,0,0,1,0,0,0,2,0,1,1,
VoiceAccess.exe,benign,244,0,0,1,0,0,0,1,1,2,1,
VsGraphicsDesktopEngine.exe,benign,419,9,1,7,0,0,0,1,1,2,2,
VsGraphicsRemoteEngine.exe,benign,366,9,1,7,0,0,0,1,1,2,2,
vsjitdebugger.exe,benign,206,0,0,6,0,0,0,3,0,3,1,
vssadmin.exe,benign,129,0,0,2,3,0,0,2,0,1,2,
VSSVC.exe,benign,251,0,0,6,5,0,0,2,1,3,2,
vulkaninfo-1-999-0-0-0.exe,benign,111,0,0,6,0,0,0,0,0,2,0,
vulkaninfo.exe,benign,111,0,0,6,0,0,0,0,0,2,0,
w32tm.exe,benign,225,0,0,2,0,0,0,2,3,2,1,
waitfor.exe,benign,97,0,0,3,0,1,0,0,0,1,1,
WallpaperHost.exe,benign,60,0,0,0,0,0,0,0,0,2,0,
wbadmin.exe,benign,203,0,0,5,3,0,0,0,3,1,1,
wbengine.exe,benign,415,0,0,9,5,0,0,2,4,2,2,
wecutil.exe,benign,124,0,0,2,0,0,0,0,0,1,0,
WerFault.exe,benign,444,2,0,6,1,0,0,4,3,4,3,
WerFaultSecure.exe,benign,170,0,0,4,0,0,0,1,0,3,1,
wermgr.exe,benign,252,0,0,4,0,0,0,4,3,3,1,
wevtutil.exe,benign,195,0,0,3,0,0,0,2,0,2,1,
wextract.exe,benign,156,0,0,3,0,0,0,2,0,1,1,
WFS.exe,benign,421,0,0,7,0,0,0,0,1,2,0,
where.exe,benign,99,0,0,3,0,0,0,0,0,1,0,
whoami.exe,benign,127,0,0,0,0,0,0,2,0,1,1,
wiaacmgr.exe,benign,168,0,0,1,0,0,0,0,1,2,0,
wiawow64.exe,benign,114,0,0,3,0,0,0,0,0,2,0,
wifitask.exe,benign,122,0,0,3,0,0,0,1,0,2,1,
wimserv.exe,benign,239,0,0,6,2,0,0,2,1,2,2,
WinBioDataModelOOBE.exe,benign,125,0,0,0,0,0,0,0,0,2,0,
WinCsFlags.exe,benign,296,0,0,1,0,0,0,1,0,2,1,
Windows.Media.BackgroundPlayback.exe,benign,56,0,0,0,0,0,0,0,0,2,0,
Windows.WARP.JITService.exe,benign,102,0,0,0,0,0,0,0,0,2,0,
WindowsActionDialog.exe,benign,122,0,0,0,0,0,0,0,0,2,0,
WindowsUpdateElevatedInstaller.exe,benign,81,0,0,0,0,0,0,0,0,2,0,
wininit.exe,benign,463,6,2,4,3,0,0,2,1,4,3,
winload.exe,benign,0,0,0,0,0,0,0,0,0,0,0,
winlogon.exe,benign,481,0,0,2,0,0,0,2,2,4,1,
winresume.exe,benign,0,0,0,0,0,0,0,0,0,0,0,
winrs.exe,benign,115,0,0,2,0,0,0,0,0,1,0,
winrshost.exe,benign,74,0,0,0,0,0,0,0,0,1,0,
WinRTNetMUAHostServer.exe,benign,69,0,0,0,0,0,0,0,0,1,0,
WinSAT.exe,benign,444,6,0,8,0,0,0,1,1,2,2,
winver.exe,benign,37,0,0,0,0,0,0,0,0,1,0,
wkspbroker.exe,benign,259,4,1,3,0,0,0,1,0,2,2,
wksprt.exe,benign,317,3,0,4,0,0,0,0,1,2,1,
wlanext.exe,benign,119,0,0,3,0,0,0,2,0,2,1,
wlrmdr.exe,benign,172,0,0,0,0,0,0,0,2,3,0,
WMPDMC.exe,benign,588,0,0,0,0,0,0,0,0,2,0,
WorkFolders.exe,benign,111,0,0,0,0,0,0,0,0,2,0,
wowreg32.exe,benign,64,0,0,0,0,0,0,0,0,1,0,
WpcMon.exe,benign,391,0,0,6,0,0,0,1,3,2,1,
WpcTok.exe,benign,193,0,0,0,0,0,0,1,3,2,1,
WPDShextAutoplay.exe,benign,106,0,0,0,0,0,0,0,0,2,0,
wpnpinst.exe,benign,81,0,0,6,0,0,0,0,1,2,0,
wpr.exe,benign,248,0,0,6,0,0,0,0,1,2,0,
wscadminui.exe,benign,23,0,0,0,0,0,0,0,0,1,0,
WSCollect.exe,benign,65,0,0,2,0,0,0,0,0,1,0,
wscript.exe,benign,218,0,0,3,0,0,0,0,0,2,0,
wsl.exe,benign,205,0,0,4,0,0,0,1,3,2,1,
WSManHTTPConfig.exe,benign,84,0,0,0,0,0,0,0,2,1,0,
wsmprovhost.exe,benign,75,0,0,0,0,0,0,0,0,1,0,
wsqmcons.exe,benign,62,0,0,0,0,0,0,0,0,1,0,
WSReset.exe,benign,107,0,0,2,0,0,0,0,4,2,0,
wuapihost.exe,benign,76,0,0,0,0,0,0,0,0,2,0,
wuauclt.exe,benign,129,0,0,1,0,0,0,0,0,3,0,
WUDFCompanionHost.exe,benign,194,0,0,3,0,0,0,0,1,2,0,
WUDFHost.exe,benign,179,0,0,3,0,0,0,0,0,2,0,
wusa.exe,benign,233,3,1,4,0,0,0,2,1,2,2,
WWAHost.exe,benign,201,0,0,2,0,0,0,1,1,3,1,
XblGameSaveTask.exe,benign,98,0,0,0,0,0,0,0,0,2,0,
xcopy.exe,benign,175,0,0,0,0,0,0,0,0,1,0,
xgamecontrol.exe,benign,77,0,0,0,0,0,0,0,0,1,0,
xgamehelper.exe,benign,127,0,0,0,0,0,0,0,0,1,0,
xwizard.exe,benign,106,0,0,0,0,0,0,0,0,1,0,
