file,label,total_imports,imp_crypto,imp_random,imp_file_ops,imp_volume_enum,imp_network_spread,imp_file_unlock,imp_process_enum,imp_shadow_service,imp_anti_analysis,indicative_category_count,static_crypto_libs
colorcpl.exe,benign,26,0,0,0,0,0,0,0,0,1,0,
comp.exe,benign,116,0,0,0,0,0,0,0,0,1,0,
compact.exe,benign,113,0,0,3,1,0,0,2,0,1,2,
CompatTelRunner.exe,benign,277,0,0,7,0,0,0,0,1,2,0,
CompMgmtLauncher.exe,benign,70,0,0,2,0,0,0,0,0,1,0,
CompPkgSrv.exe,benign,92,0,0,0,0,0,0,0,0,2,0,
ComputerDefaults.exe,benign,57,0,0,0,0,0,0,0,0,2,0,
conhost.exe,benign,265,0,0,2,0,0,0,1,0,2,1,
consent.exe,benign,282,0,0,1,1,0,0,0,0,2,1,
control.exe,benign,47,0,0,0,0,0,0,0,0,1,0,
convert.exe,benign,90,0,0,0,0,0,0,0,0,1,0,
convertvhd.exe,benign,152,0,0,3,0,0,0,0,0,2,0,
coredpussvr.exe,benign,111,0,0,0,0,0,0,0,0,2,0,
CredentialEnrollmentManager.exe,benign,273,0,0,0,0,0,0,1,0,2,1,
CredentialUIBroker.exe,benign,182,0,0,0,0,0,0,1,0,2,1,
credwiz.exe,benign,128,0,0,4,0,0,0,1,1,1,1,
cscript.exe,benign,201,0,0,3,0,0,0,0,0,2,0,
csrss.exe,benign,17,0,0,0,0,0,0,0,0,1,0,
ctfmon.exe,benign,80,0,0,0,0,0,0,0,0,2,0,
cttune.exe,benign,190,0,0,0,0,0,0,1,0,1,1,
cttunesvr.exe,benign,98,0,0,0,0,0,0,0,0,1,0,
curl.exe,benign,219,5,2,3,0,0,0,1,0,2,2,
CustomInstallExec.exe,benign,134,0,0,0,0,0,0,1,0,3,1,
CustomShellHost.exe,benign,588,0,0,6,0,0,0,1,3,3,1,boost
d3dconfig.exe,benign,168,0,0,4,0,0,0,0,0,2,0,
dasHost.exe,benign,173,0,0,0,0,0,0,2,0,2,1,
DataExchangeHost.exe,benign,301,0,0,0,0,0,0,1,0,3,1,
DataStoreCacheDumpTool.exe,benign,158,0,0,2,0,0,0,1,0,2,1,
dccw.exe,benign,255,0,0,3,0,0,0,0,0,2,0,
dcomcnfg.exe,benign,38,0,0,0,0,0,0,0,0,2,0,
ddodiag.exe,benign,51,0,0,4,0,0,0,0,0,1,0,
Defrag.exe,benign,176,0,0,4,1,0,0,0,1,2,1,
deploymentcsphelper.exe,benign,91,0,0,0,0,0,0,0,0,1,0,
