file,verdict,destructive_victim_events,distinct_victim_files,raw_written,raw_deleted,raw_moved,raw_read,raw_copied
babuk_550771bbf8a3e5625d6ec76d70ed86f6e443f07ce80ff73e47f8249ddd72a8cf.json,NO_VICTIM_ACTIVITY,0,0,33,0,15,3,0
babuk_56b7e6dd46e38a30ead82790947a425661ad893f54060381c9b76616c27d3b9f.json,NO_VICTIM_ACTIVITY,0,0,1,5,0,25,0
babuk_575c7b60f3b1dfc3cdd42e868b88df19cef81a5577254a314dc7d1da0fd64cfb.json,NO_VICTIM_ACTIVITY,0,0,201,0,200,193,0
babuk_58ccba4fb2b3ed8b5f92adddd6ee331a6afdedfc755145e0432a7cb324c28053.json,NO_VICTIM_ACTIVITY,0,0,3821,0,3706,3682,0
babuk_6103e26f6f9d5fd895d9c06e1f5e141ce74d8ebda999cda6a58a4393de5ed094.json,NO_VICTIM_ACTIVITY,0,0,284,0,284,274,0
babuk_678bfbf5d73d6cf38532e11b11dbed17668d94711e2e2ea27311dd46490201b7.json,NO_VICTIM_ACTIVITY,0,0,216,0,215,205,0
babuk_6d4ced2e85587e81d6a09b147ec7cccc054bc0fbb92afc39586de1b2bf57f812.json,NO_VICTIM_ACTIVITY,0,0,293,0,293,284,0
babuk_704a0fa7de19564bc743fb68aa0652e38bf86e8ab694bc079b15f945c85f4320.json,NO_VICTIM_ACTIVITY,0,0,30,0,15,1,0
babuk_71936bc3ee40c7ea678889d2ad5fa7eb39401752cd58988ce462f9d4048578ac.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
babuk_752d66990097c8be7760d8d6011b1e91daa1d5518951d86f9fdf3d126d54872a.json,NO_VICTIM_ACTIVITY,0,0,7,3,0,5,0
babuk_77c7839c7e8d4aaf52e33a2f29db8459381b5cc3b2700072305a8bae5e0762a9.json,NO_VICTIM_ACTIVITY,0,0,270,0,268,259,0
babuk_80c58ad933073630a37ad8d78739807b1f4b6f5f65900c59c8424b5df11c632b.json,NO_VICTIM_ACTIVITY,0,0,196,0,195,187,0
babuk_81e7942a1f32fb18e37cf622c5a24b7c54c4792549363fddf9a3a9095a07f23e.json,TRUE_ENCRYPTION,59,59,2,840,0,3,0
babuk_8203c2f00ecd3ae960cb3247a7d7bfb35e55c38939607c85dbdb5c92f0495fa9.json,NO_VICTIM_ACTIVITY,0,0,33,0,15,3,0
babuk_9a089790e04683ebf37d9746e0284322f59c46eef2a86cc231839482f323e871.json,NO_VICTIM_ACTIVITY,0,0,1623,0,1591,1564,0
babuk_9f7d6949fd359dce79d3233eb80101ff706a35de5308543b0488450c19eba0f0.json,NO_VICTIM_ACTIVITY,0,0,535,0,529,529,0
babuk_a2b5ebfc52a447cde255e1ec1ac8797ad49b156ed427df8c292d6aeb4dad5523.json,NO_VICTIM_ACTIVITY,0,0,455,0,446,436,0
babuk_a52267dc795a51404cbf2a7e8e7875929783bcc62abd6b7cfd1921c938cf2756.json,NO_VICTIM_ACTIVITY,0,0,532,0,519,517,0
babuk_ab4eae618bb05b4fb4a8d3790a0d18a3e1566ab477519991cb161398803a8847.json,NO_VICTIM_ACTIVITY,0,0,3643,0,3532,3508,0
babuk_ab8eee432fa636360b3c6724fe6851e9cf8eeae1ee9da6fc576bee1cd5d7fad2.json,NO_VICTIM_ACTIVITY,0,0,23,0,16,15,0
babuk_ae6020a06d2a95cbe91b439f4433e87d198547dec629ab0900ccfe17e729cff1.json,NO_VICTIM_ACTIVITY,0,0,252,0,252,245,0
babuk_afcf265a1dcd9eab5aab270d48aa561e4ddeb71c05e32c857d3b809bb64c0430.json,NO_VICTIM_ACTIVITY,0,0,30,0,14,1,0
babuk_b4be6b8acda97f36c448365751d5c9a9e1b91f47cedfde79e1de258413c3de71.json,NO_VICTIM_ACTIVITY,0,0,236,0,234,227,0
babuk_b4ecf72fa4af827c32bbc16c05597dbc1216c2fb0b9c2fdff757300e9ab20cef.json,NO_VICTIM_ACTIVITY,0,0,2,2,0,5,0
babuk_bb31f235e86b0fda185e6580ef5327f80d6a6c754f78499e8647de5e229769cc.json,NO_VICTIM_ACTIVITY,0,0,285,0,277,268,0
babuk_c4282e9040cdc1df92b722568a8b4c42ce9f6533fed0bd34b7fdbae264947784.json,NO_VICTIM_ACTIVITY,0,0,163,0,159,152,0
babuk_c94a81fdf688d220827320e88cc0b89af8690142abe5c602131b6659297c7d24.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
babuk_ca0d9c8e8b2ed05fcf10178e1d194f5e484892dbe59ede4ae9549d27a5c8fd75.json,NO_VICTIM_ACTIVITY,0,0,28,0,28,20,0
babuk_cbdc8fd073176c4e0328aff65147f37e5d46847de62508e7a3cf12f49a40b799.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
babuk_d9d01bff3bf98b37793eb9d74e713cc340b7d9ad40d0c6437f422c41fca73364.json,WEAK_VICTIM_ACTIVITY,1,1,3,0,1,2,0
babuk_e08f17b42e47bf973bf866f167a49b931b99fe1b50bc820078ac2644bd8c209c.json,NO_VICTIM_ACTIVITY,0,0,320,0,317,310,0
babuk_eb180fcc43380b15013d9fe42e658fc6f6c32cf23426ef10b89bc6548d40523b.json,NO_VICTIM_ACTIVITY,0,0,122,0,119,112,0
babuk_ed0f154481261e9a08dcc4f7e4d396bce75526811216106daa70d4148c660d76.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
babuk_f1719415abe4dcba0daef0a1e5c8994d1d3c0c659d3e0a11b34f307370dd8683.json,NO_VICTIM_ACTIVITY,0,0,226,0,224,216,0
babuk_f4c2169dab08ca0aa12fe0e35a0424b6de1396b719a3eb34c3f7ce205a99dd46.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
babuk_f8cfcd21368ff8d8590000adf0b18d03aa49364a344bffeed9a8f32d5af1148f.json,NO_VICTIM_ACTIVITY,0,0,2600,0,2525,2504,0
blackbasta_15abbff9fbce7f5782c1654775938dcd2ce0a8ebd683a008547f8a4e421888c4.json,WEAK_VICTIM_ACTIVITY,1,2,148,0,26,72,0
blackbasta_1898224a5535bd34d7afa62b569e1044286e190136c867dd12ba7a57b4971c59.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbasta_449d87ca461823bb85c18102605e23997012b522c4272465092e923802a745e9.json,WEAK_VICTIM_ACTIVITY,1,2,280,0,130,181,0
blackbasta_5004f5b0b01af964abc22690ae3ad736d154ba8c0267956cd1776f43f82758d1.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbasta_5d2204f3a20e163120f52a2e3595db19890050b2faa96c6cba6b094b0a52b0aa.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbasta_9a55f55886285eef7ffabdd55c0232d1458175b1d868c03d3e304ce7d98980bc.json,WEAK_VICTIM_ACTIVITY,1,2,157,0,30,72,0
blackbasta_a5a53aad71dbbef65b78ace28d114f668dc299bb14bcd8b9224787f3dab0c7f2.json,NO_VICTIM_ACTIVITY,0,0,9,1,0,20,1
blackbasta_cce74c82a718be7484abf7c51011793f2717cfb2068c92aa35416a93cbd13cfa.json,NO_VICTIM_ACTIVITY,0,1,1,0,0,42,0
blackbasta_cf1256ae391410f7ebc785d180eb03ff36135cf8f9051b6d8c803386abdafb78.json,NO_VICTIM_ACTIVITY,0,0,2,2,0,5,0
blackbasta_d943a4aabd76582218fd1a9a0a77b2f6a6715b198f9994f0feae6f249b40fdf9.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_1df11bc19aa52b623bdf15380e3fded56d8eb6fb7b53a2240779864b1a6474ad.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_388163c9ec1458c779849db891e17efb16a941ca598c4c3ac3a50a77086beb69.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_3de8fe5cee8180e93697e4ddca87e721910b9dd922de849cab7b1b3a50e54a00.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_40fc98721dfc556e507f99f95878a5afbbabd108663ac401198b77ef8d08d7d0.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_44a5e78fce5455579123af23665262b10165ac710a9f7538b764af76d7771550.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_5351e351657dc02906bfca751b6e443996f0c9c5bfb38c5e6b83825885cfd02e.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_545eee18d387e70c68afc9701432766b0376dc9bc1eace031f5df69ec72f0cd8.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_6f36a4a1364cfb063a0463d9e1287248700ccf1e0d8e280e034b02cf3db3c442.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_829751cfdc2376e916244f94baf839ce4491ccb75f0a89778c092bde79bd8643.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,1,0
blackbyte_884e96a75dc568075e845ccac2d4b4ccec68017e6ef258c7c03da8c88a597534.json,NO_VICTIM_ACTIVITY,0,1,2,1,0,18,1
blackbyte_938a0841b643da4d0e04848b04b7f735c64e05ce45b5118618c6af685d651f08.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_c22a6401a415fe642f3d96f38a887dd8ad23dd83a9255ee89d9adf4650ab98da.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,2,0
blackbyte_cf123571fca3661bf5778881901f91b1a8720a4e57c021eae100077388a54d9b.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackbyte_f7cbd236b18890f799d9fc3ecd264c9ecd3c9681f31c2ba5e8c27b3e4ea13d51.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_0b80b497370f99697e74c7cef81ef4ba42a436ff52e6a5af031a8e615a937555.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_1048a41107f4d9a68c1f5fc0b99ac75dc198047f18bb6e50f3d462f262b8f6cd.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_12138a12e35563461860d8c39d80e7cbf80aced9a3f197bf7e6a452a70e07048.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_133e003cc510e3d2d0c7df70a603448605641256c88ce64a3bcabb762295d622.json,NO_VICTIM_ACTIVITY,0,0,2,4,0,41,0
blackcat_1a2451818ab732456097ffed51ed506febb01ed15e401b975b6802ff96a02013.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_1b90e6f959db883fb4a036dac06242be724a7637708058e2c439e2250222d6d1.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,1,0
blackcat_1e8696116c400742d13d6dfcad676badee68eac4a42a0693556f5dcfa82d0a46.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_214ea9347df948e515af3f0ed446722e36f011e8cd34a221eb6e506269b955f3.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_317f2856e6c1c3b88567deb564e681e83cc65e08d412d7ae9db3f04d70e304a0.json,TRUE_ENCRYPTION,12,12,23,0,18,25,0
blackcat_382da46b770736639b495071c4c5a0b139eb486583b7b9548274ce6e4f663cb8.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_3850817e83a1cf4195920110bb2995a0386fdaeacbf81e13f52bdb3d124911f5.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_3a96c3075b8494fe6a76c6325946ab3f200e75ce26ad886446ea1394b5ac6ba1.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_3b18241ac1018db1c2fb5c9e8306490bcafb373c852f1c5ebae65c672632a620.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_3de2a56cc13e85bc214d583dbd101857a129b796dae0c499fb5045a1508231ef.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_3ed830b0803b63aca0a82661475c863801afd2e2b03c2675b05019d55f25a1f4.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_45b8678f74d29c87e2d06410245ab6c2762b76190594cafc9543fb9db90f3d4f.json,NO_VICTIM_ACTIVITY,0,0,3,4,0,42,0
blackcat_4fea41b61b2bd700fc6613c18c05aeb4df37bcbe777868081b0ed1076ee7aacb.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_5121f08cf8614a65d7a86c2f462c0694c132e2877a7f54ab7fcefd7ee5235a42.json,NO_VICTIM_ACTIVITY,0,0,3,4,0,42,0
blackcat_5165cd61158a14ba2f90c275d29d8271b1f0c5669ebcdc620edd86ee90474dbc.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_59868f4b346bd401e067380cac69080709c86e06fae219bfb5bc17605a71ab3f.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_5a604a8f0e72f3bf7901b7b67f881031a402ab8072269c00233a554df548f54d.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_5b6a9081d7742747a08d04a8f3dff31de71c4811b3b892e4b0f282780e60d741.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_655abd0b5067ec53b25ea387c9aebe0fbafd5209e53bc7447c7d7425cb76b175.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_6660d0e87a142ab1bde4521d9c6f5e148490b05a57c71122e28280b35452e896.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_67d1f4077e929385cfd869bf279892bf10a2c8f0af4119e4bc15a2add9461fec.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_69417ec104c1dd07e5067110d6e7f3c643c534d14db65a704bc0c14c223c3001.json,NO_VICTIM_ACTIVITY,0,0,3,4,0,48,0
blackcat_6cf6f96b03b4dbda980cb832f93081fef05ac0516d5a4c0d7a821fc2f63815ec.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_6dd995d896a9a593b2c48d09da60bd83866d8577273f36d38788d83ad8173e68.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_731adcf2d7fb61a8335e23dbee2436249e5d5753977ec465754c6b699e9bf161.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_7b2449bb8be1b37a9d580c2592a67a759a3116fe640041d0f36dc93ca3db4487.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_7bb383b31d1b415bc067e612203cc6bda53e914f7ca5291299e92f59d47cabf8.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_7d8671c91a02bfbff8b89a76501b9be017a66a8bba624ed4fe2c7f81b9380ac9.json,NO_VICTIM_ACTIVITY,0,0,0,4,0,1,0
blackcat_7e363b5f1ba373782261713fa99e8bbc35ddda97e48799c4eb28f17989da8d8e.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_8150e139d99620257a4725dbb359558bc25be00eddf0dc2e326bceb11730d676.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_82479ba19531a5b3f108f21f939190de2073395a708bb4446d6acc398518b802.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_847fb7609f53ed334d5affbb07256c21cb5e6f68b1cc14004f5502d714d2a456.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_86ccc74375405ef5a86bb26071ec345d3d800438d1e0caa4a6d0cb43bd8562df.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_873f294f8da4617ebb96d43ea4d19f3f106033ff6b6cd0f042fab812c0ed5802.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_87a14583b72250a660b74f1e475a268f95285820d72fbd5115f1b8c6ec787a9a.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_8a22a91c931ac80ca91cf91fef678c4bee00e3eb5ad24f209bc8595e012ba5b0.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_8dc43793450f2c7f5953e0eb912356113346b6afd48f9400a26c35cdf0ffdd07.json,NO_VICTIM_ACTIVITY,0,0,1,0,0,1,0
blackcat_8ee191b51b853addc862307c8f641bd251a8b7dd88263d228453bb06882f2464.json,NO_VICTIM_ACTIVITY,0,0,1,0,0,1,0
blackcat_942946c6ae139b1f1efc91262f91034542eb75b80c3c66c10d69dda014d706d6.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_94e56379b7a31b01cf826076a74fc4ddb7f86f7991a6f58300f28712d484aa33.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_98436725de8ce25ac7a3155f56b9d622fa4dd800ae581d7dd9f22bc1b7887525.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_99c71640bc985654db23b81ecb00e4d0cc160a25e1c58b6a90e379a559ea3440.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_99d09068ac1b9d6db4f8bcff698ffff8e112a506c0f01afff460c5a3b1393ef8.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_9fb1067dd3edf3d517517e9c191f3f07067bf30aa034a36ebf6543d83cea5ec1.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_a15f278540238f0308608e76a76c01c60e04f5e5bbe9ffce5455f2e965574a12.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_acf8884a4bfb9ebfe99ed607c4f1cf625cd705ac4317c092ef6dcca3d47027aa.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_bb6b249336cd7001b1c55d3724b5e35a150e752ed795c36e0d5dcba00eedb62a.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_bd4e603e953d8c7803f3c7d72cd7197d996ab80ce80b9da96a4df7d10969bb55.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_c72ff0fb83a92ac66e9b5f2affabee37807a7b3995bb45aa12d9f3cee967f839.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_e55cc3426298f9f848849304d10b9222925eb19caebaebaa44dfb85ad2346062.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
blackcat_e88795f5be1970400521e0041c4603c62ff681f24ac75f926d524d092eecb6ee.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
bluesky_1a5dda44814691757ef652e3e89f32a190c651bceab7a7c72752e42556d00f07.json,NO_VICTIM_ACTIVITY,0,0,2,4,0,26,0
bluesky_2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef.json,NO_VICTIM_ACTIVITY,0,0,0,0,0,0,0
