task_id,n_shots,cells_changed,cells_usable,cell_change_fraction,pixel_change_fraction,visual_change,peak_shot,verdict,destroyed_decoy_files,agreement,first_shot,last_shot
427,40,49,66,0.7424,0.1952,yes,0031.jpg,TRUE_ENCRYPTION,247,agree,/opt/CAPEv2/storage/analyses/427/shots/0001.jpg,/opt/CAPEv2/storage/analyses/427/shots/0040.jpg
428,1,,,,,unknown,,FAILED,0,,/opt/CAPEv2/storage/analyses/428/shots/0001.jpg,
429,42,35,66,0.5303,0.1354,yes,0034.jpg,TRUE_ENCRYPTION,117,agree,/opt/CAPEv2/storage/analyses/429/shots/0001.jpg,/opt/CAPEv2/storage/analyses/429/shots/0042.jpg
430,35,12,66,0.1818,0.0732,yes,0010.jpg,TRUE_ENCRYPTION,7,agree,/opt/CAPEv2/storage/analyses/430/shots/0001.jpg,/opt/CAPEv2/storage/analyses/430/shots/0035.jpg
431,95,47,66,0.7121,0.1967,yes,0044.jpg,TRUE_ENCRYPTION,143,agree,/opt/CAPEv2/storage/analyses/431/shots/0001.jpg,/opt/CAPEv2/storage/analyses/431/shots/0095.jpg
432,8,8,66,0.1212,0.0464,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/432/shots/0001.jpg,/opt/CAPEv2/storage/analyses/432/shots/0008.jpg
433,57,54,66,0.8182,0.6603,yes,0004.jpg,TRUE_ENCRYPTION,59,agree,/opt/CAPEv2/storage/analyses/433/shots/0001.jpg,/opt/CAPEv2/storage/analyses/433/shots/0057.jpg
434,43,10,66,0.1515,0.0499,yes,0010.jpg,TRUE_ENCRYPTION,0,agree,/opt/CAPEv2/storage/analyses/434/shots/0001.jpg,/opt/CAPEv2/storage/analyses/434/shots/0043.jpg
435,53,57,66,0.8636,0.686,yes,0020.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/435/shots/0001.jpg,/opt/CAPEv2/storage/analyses/435/shots/0053.jpg
436,40,11,66,0.1667,0.0548,yes,0003.jpg,TRUE_ENCRYPTION,0,agree,/opt/CAPEv2/storage/analyses/436/shots/0001.jpg,/opt/CAPEv2/storage/analyses/436/shots/0040.jpg
